Text,Date,Time,Draft,Brand name,Facebook,Instagram,Picture URL 1,Alt text picture 1,Instagram Post Type,Facebook Post Type,Facebook Title,Facebook First Comment Text
"Pergola Entertaining Ideas Australia: 14 Tips That Work

I've had a Gold Coast pergola for 4 years. Here are 14 pergola entertaining ideas that transformed my outdoor space — AUD prices and local retailers included.

Save this post for later. Full guide — link in bio.

#pergolaoutdoorentertainingideasaustralia #pergolaentertainingaustralia #pergolaideasaustralia #outdoorpergoladecor #alfrescopergola #coastalhome #australianhomes #outdoorliving #hamptonsstyle #alfresco",2026-08-13,19:00:00,FALSE,outdoorcoastal_home,FALSE,TRUE,https://raw.githubusercontent.com/badreddineX/coastal-home-au.BLOG/0a33ee7b52c74fa16ccca1b23643c268bb950b78/social-posts/2026-08-13/01-pergola-entertaining-ideas-australia-ig.png,Pergola Entertaining Ideas Australia: 14 Tips That Work,POST,,,
"Australian Beach House Decor Ideas: 13 Proven Tips

I've decorated three Gold Coast coastal homes. Here are 13 Australian beach house decor ideas that actually work — real AUD prices and real local retailers.

Save this post for later. Full guide — link in bio.

#australianbeachhousedecorideas #beachhousedecoraustralia #coastalhousedecor #australianbeachhouseinterior #beachhousestylingaustralia #coastalhome #australianhomes #outdoorliving #hamptonsstyle #alfresco",2026-08-13,21:00:00,FALSE,outdoorcoastal_home,FALSE,TRUE,https://raw.githubusercontent.com/badreddineX/coastal-home-au.BLOG/0a33ee7b52c74fa16ccca1b23643c268bb950b78/social-posts/2026-08-13/02-australian-beach-house-decor-ideas-ig.png,Australian Beach House Decor Ideas: 13 Proven Tips,POST,,,
"Small Backyard Entertaining Australia: 12 Tips That Work

I entertain 12 people regularly in a 6×8m Gold Coast backyard. 12 small backyard entertaining ideas that made it possible — real AUD prices, real results.

Save this post for later. Full guide — link in bio.

#smallbackyardentertainingideasaustralia #smallbackyardideasaustralia #smalloutdoorentertainingspace #compactbackyardentertaining #smallalfrescoideas #coastalhome #australianhomes #outdoorliving #hamptonsstyle #alfresco",2026-08-14,19:00:00,FALSE,outdoorcoastal_home,FALSE,TRUE,https://raw.githubusercontent.com/badreddineX/coastal-home-au.BLOG/0a33ee7b52c74fa16ccca1b23643c268bb950b78/social-posts/2026-08-13/03-small-backyard-entertaining-ideas-australia-ig.png,Small Backyard Entertaining Australia: 12 Tips That Work,POST,,,
"Rattan and Linen Coastal Styling Australia: How to Mix Them

How to style rattan and linen in an Australian coastal home for under $800 AUD — compositions, ratios, colour pairings, and the layering order that works.

Save this post for later. Full guide — link in bio.

#rattanandlinencoastaldecorideas #rattancoastaldecoraustralia #linencoastalinterior #rattanlinenhomedecor #coastalmaterialsaustralia #coastalhome #australianhomes #outdoorliving #hamptonsstyle #alfresco",2026-08-14,21:00:00,FALSE,outdoorcoastal_home,FALSE,TRUE,https://raw.githubusercontent.com/badreddineX/coastal-home-au.BLOG/0a33ee7b52c74fa16ccca1b23643c268bb950b78/social-posts/2026-08-13/04-rattan-linen-coastal-decor-australia-ig.png,Rattan and Linen Coastal Styling Australia: How to Mix Them,POST,,,
"Outdoor Christmas Entertaining Australia: 12 Hosting Tips

How to host a backyard Christmas in Australia — starting lunch at 12pm to beat the heat, feeding a crowd outdoors, timing, and setup with real AUD costs.

Save this post for later. Full guide — link in bio.

#outdoorchristmasentertainingaustralia #backyardchristmasaustralia #christmasentertainingideasaustralia #outdoorchristmasideasaustralia #alfrescochristmas #coastalhome #australianhomes #outdoorliving #hamptonsstyle #alfresco",2026-08-15,19:00:00,FALSE,outdoorcoastal_home,FALSE,TRUE,https://raw.githubusercontent.com/badreddineX/coastal-home-au.BLOG/0a33ee7b52c74fa16ccca1b23643c268bb950b78/social-posts/2026-08-13/05-outdoor-christmas-entertaining-australia-ig.png,Outdoor Christmas Entertaining Australia: 12 Hosting Tips,POST,,,
"Coastal Home Decor Australia: 14 Design Tips That Work

I've been refining the coastal home decor look in our Gold Coast home for 5 years. Here are 14 tips that actually work — with real AUD prices and honest advice.

Save this post for later. Full guide — link in bio.

#coastalhomedecor #coastaldecoraustralia #coastalstylehome #beachhousedecor #coastalinterioraustralia #coastalhome #australianhomes #outdoorliving #hamptonsstyle #alfresco",2026-08-15,21:00:00,FALSE,outdoorcoastal_home,FALSE,TRUE,https://raw.githubusercontent.com/badreddineX/coastal-home-au.BLOG/0a33ee7b52c74fa16ccca1b23643c268bb950b78/social-posts/2026-08-13/06-coastal-home-decor-australia-ig.png,Coastal Home Decor Australia: 14 Design Tips That Work,POST,,,
"Coastal Living Room Ideas Australia: 13 Best Tips

I redesigned our Gold Coast living room from scratch using coastal style principles. Here are the 13 tips that worked — with real AUD prices and honest trade-offs.

Save this post for later. Full guide — link in bio.

#coastallivingroomideas #coastallivingroomaustralia #beachhouselivingroom #coastalloungeideas #coastalinteriorlivingroom #coastalhome #australianhomes #outdoorliving #hamptonsstyle #alfresco",2026-08-16,19:00:00,FALSE,outdoorcoastal_home,FALSE,TRUE,https://raw.githubusercontent.com/badreddineX/coastal-home-au.BLOG/0a33ee7b52c74fa16ccca1b23643c268bb950b78/social-posts/2026-08-13/08-coastal-living-room-ideas-australia-ig.png,Coastal Living Room Ideas Australia: 13 Best Tips,POST,,,
"Backyard Entertaining Zones Australia: 14 Layout Tips

How to zone your Australian backyard for entertaining — from shade structures to bar areas, seating zones, and lighting. Real AUD costs for every element included.

Save this post for later. Full guide — link in bio.

#backyardentertainingideasaustralia #backyardentertainingaustralia #outdoorbackyardideas #backyardpartyideasaustralia #alfrescobackyard #coastalhome #australianhomes #outdoorliving #hamptonsstyle #alfresco",2026-08-16,21:00:00,FALSE,outdoorcoastal_home,FALSE,TRUE,https://raw.githubusercontent.com/badreddineX/coastal-home-au.BLOG/0a33ee7b52c74fa16ccca1b23643c268bb950b78/social-posts/2026-08-13/09-backyard-entertaining-ideas-australia-ig.png,Backyard Entertaining Zones Australia: 14 Layout Tips,POST,,,
"Hamptons Style Decor Australia: 13 Tips to Get It Right

Three years building a Hamptons-style home on the Gold Coast. DIY shiplap panelling from $300-$800 and honest advice on where to save, with real AUD prices.

Save this post for later. Full guide — link in bio.

#hamptonsstyledecoraustralia #hamptonsdecoraustralia #hamptonsinterioraustralia #hamptonshomestyle #hamptonslookaustralia #coastalhome #australianhomes #outdoorliving #hamptonsstyle #alfresco",2026-08-17,19:00:00,FALSE,outdoorcoastal_home,FALSE,TRUE,https://raw.githubusercontent.com/badreddineX/coastal-home-au.BLOG/0a33ee7b52c74fa16ccca1b23643c268bb950b78/social-posts/2026-08-13/10-hamptons-style-decor-australia-ig.png,Hamptons Style Decor Australia: 13 Tips to Get It Right,POST,,,
"Coastal Interior Design Principles Australia: 13 Rules

The 13 design principles behind Australian coastal interiors — spatial rules, material logic, and colour theory that professional designers use. Pure technique.

Save this post for later. Full guide — link in bio.

#coastalinteriordesignaustralia #coastalinteriordesign #australiancoastalinterior #coastaldesignprinciples #coastalhomedesign #coastalhome #australianhomes #outdoorliving #hamptonsstyle #alfresco",2026-08-17,21:00:00,FALSE,outdoorcoastal_home,FALSE,TRUE,https://raw.githubusercontent.com/badreddineX/coastal-home-au.BLOG/0a33ee7b52c74fa16ccca1b23643c268bb950b78/social-posts/2026-08-13/11-coastal-interior-design-australia-ig.png,Coastal Interior Design Principles Australia: 13 Rules,POST,,,
