Text,Date,Time,Draft,Brand name,Facebook,Instagram,Picture URL 1,Alt text picture 1,Instagram Post Type,Facebook Post Type,Facebook Title,Facebook First Comment Text
"Afrobohemian & Global Decor Ideas for UK Homes on a Budget

Affordable Afrobohemian and global-inspired decor ideas for UK renters and homeowners, using budget-friendly UK retailers.

Save this post for later. Full guide — link in bio.

#afrobohemiandecoruk #globaldecorideasuk #eclecticdecoruk #globalinspireddecor #budgethomedecor #renterfriendly #ukinteriors #britishhomes #interiordesignuk #homedecoruk",2026-08-13,19:00:00,FALSE,britishhome_interior,FALSE,TRUE,https://raw.githubusercontent.com/badreddineX/British-home.BLOG/1721287a2673aed79942994ed9044d58a5ca7d3d/social-posts/2026-08-13/afrobohemian-decor-ideas-uk-ig.png,Afrobohemian & Global Decor Ideas for UK Homes on a Budget,POST,,,
"Cosy Autumn Home Decor Ideas UK

How to make your UK home feel autumnal — warm textiles, amber lighting, seasonal scents, and nature-inspired accents. All from UK shops, with prices.

Save this post for later. Full guide — link in bio.

#cosyautumnhomedecorideas #autumndecoratingideas #fallhomedecoruk #autumnhomedecoruk #autumninteriorideasuk #autumnalhomedecor #autumnlivingroomuk #ukinteriors #britishhomes #interiordesignuk",2026-08-13,21:00:00,FALSE,britishhome_interior,FALSE,TRUE,https://raw.githubusercontent.com/badreddineX/British-home.BLOG/1721287a2673aed79942994ed9044d58a5ca7d3d/social-posts/2026-08-13/autumn-home-decor-ideas-uk-ig.png,Cosy Autumn Home Decor Ideas UK,POST,,,
"Bathroom Colour Ideas UK 2026

The best paint and tile colours for British bathrooms — warm neutrals, sage green, and moody tones with UK retailer picks from Dulux, Farrow & Ball, and B&Q.

Save this post for later. Full guide — link in bio.

#bathroomcolourideasuk #bathroompaintcoloursuk #bathroomcolourschemesuk #smallbathroomcolourideas #bestbathroomcoloursuk #bathroompaintideasuk #ukinteriors #britishhomes #interiordesignuk #homedecoruk",2026-08-14,19:00:00,FALSE,britishhome_interior,FALSE,TRUE,https://raw.githubusercontent.com/badreddineX/British-home.BLOG/1721287a2673aed79942994ed9044d58a5ca7d3d/social-posts/2026-08-13/bathroom-colour-ideas-uk-ig.png,Bathroom Colour Ideas UK 2026,POST,,,
"Small Bathroom Storage Ideas UK

Where to buy bathroom storage that works in a small UK rental: 12 no-drill ideas with real £ prices from Amazon UK, IKEA, and Dunelm.

Save this post for later. Full guide — link in bio.

#smallbathroomstorageuk #smallbathroomstorageideasuk #bathroomstoragesolutionsuk #bathroomstorageideasuk #renterfriendlybathroomuk #nodrillstorageuk #ukinteriors #britishhomes #interiordesignuk #homedecoruk",2026-08-14,21:00:00,FALSE,britishhome_interior,FALSE,TRUE,https://raw.githubusercontent.com/badreddineX/British-home.BLOG/1721287a2673aed79942994ed9044d58a5ca7d3d/social-posts/2026-08-13/bathroom-storage-ideas-uk-ig.png,Small Bathroom Storage Ideas UK,POST,,,
"Bedroom Colour Ideas UK 2026

The best paint colours for British bedrooms in 2026 — warm neutrals, muted blues, and bold statement tones with UK retailer picks from Dulux and Farrow & Ball.

Save this post for later. Full guide — link in bio.

#bedroomcolourideasuk #bedroompaintcolours #bedroomcolourideas #bedroomcolorideas #paintcoloursforbedroom #bedroompaintcoloursuk #bestbedroomcoloursuk #bedroompaintideasuk #ukinteriors #britishhomes",2026-08-15,19:00:00,FALSE,britishhome_interior,FALSE,TRUE,https://raw.githubusercontent.com/badreddineX/British-home.BLOG/1721287a2673aed79942994ed9044d58a5ca7d3d/social-posts/2026-08-13/bedroom-colour-ideas-uk-ig.png,Bedroom Colour Ideas UK 2026,POST,,,
"12 Bedroom Decor Ideas for UK Homes

12 bedroom decor ideas for British homes covering colour, bedding, lighting, storage and styling. Real UK prices from Dunelm, Next, John Lewis and IKEA.

Save this post for later. Full guide — link in bio.

#bedroomdecorideasuk #bedroomdecoruk #bedroomideasuk #ukbedroomideas #bedroomstylinguk #britishbedroomdecor #cosybedroomuk #ukinteriors #britishhomes #interiordesignuk",2026-08-15,21:00:00,FALSE,britishhome_interior,FALSE,TRUE,https://raw.githubusercontent.com/badreddineX/British-home.BLOG/1721287a2673aed79942994ed9044d58a5ca7d3d/social-posts/2026-08-13/bedroom-decor-ideas-uk-ig.png,12 Bedroom Decor Ideas for UK Homes,POST,,,
"Bedroom Lighting Ideas for UK Rentals

Cosy, deposit-safe bedroom lighting ideas for UK renters — warm bulbs, lamps, fairy lights, battery sconces, and dimmer plugs, all with no rewiring.

Save this post for later. Full guide — link in bio.

#bedroomlightingideasuk #rentalbedroomlighting #nowiringlightingideas #cosybedroomlighting #batterywallsconcesuk #fairylightsbedroomuk #ukinteriors #britishhomes #interiordesignuk #homedecoruk",2026-08-16,19:00:00,FALSE,britishhome_interior,FALSE,TRUE,https://raw.githubusercontent.com/badreddineX/British-home.BLOG/1721287a2673aed79942994ed9044d58a5ca7d3d/social-posts/2026-08-13/bedroom-lighting-ideas-uk-ig.png,Bedroom Lighting Ideas for UK Rentals,POST,,,
"13 Bedroom Makeover Ideas UK

13 bedroom makeover ideas for UK homes — from new bedding and lighting to paint colours and furniture arrangement. All achievable without a full renovation.

Save this post for later. Full guide — link in bio.

#bedroommakeoveruk #bedroommakeoverideas #bedroomtransformation #bedroomtransformationuk #bedroomdecoruk #bedroomrefreshideasuk #ukinteriors #britishhomes #interiordesignuk #homedecoruk",2026-08-16,21:00:00,FALSE,britishhome_interior,FALSE,TRUE,https://raw.githubusercontent.com/badreddineX/British-home.BLOG/1721287a2673aed79942994ed9044d58a5ca7d3d/social-posts/2026-08-13/bedroom-makeover-uk-ig.png,13 Bedroom Makeover Ideas UK,POST,,,
"Budget Home Makeover UK Under £150

Room-by-room budget home makeover framework for UK homes — highest visual return per pound, with real prices and UK retailer picks. Total under £150 per room.

Save this post for later. Full guide — link in bio.

#budgethomemakeoveruk #cheaphomemakeover #budgethomerefresh #homemakeoveruk #cheaphomemakeoveruk #budgethomedecoruk #homerefreshuk #ukinteriors #britishhomes #interiordesignuk",2026-08-17,19:00:00,FALSE,britishhome_interior,FALSE,TRUE,https://raw.githubusercontent.com/badreddineX/British-home.BLOG/1721287a2673aed79942994ed9044d58a5ca7d3d/social-posts/2026-08-13/budget-home-makeover-uk-ig.png,Budget Home Makeover UK Under £150,POST,,,
"Budget Kitchen Cabinet Makeover Ideas UK: 4 Ways Compared

Four affordable kitchen cabinets UK options compared — DIY paint, professional respray, vinyl wrap, and new doors — with real UK prices from B&Q, Wickes, and Screwfix.

Save this post for later. Full guide — link in bio.

#affordablekitchencabinetsuk #kitchencabinetmakeoveruk #cheapkitchencabinetsuk #kitchencabinetrespraycostuk #vinylwrapkitchencabinets #cheapkitchencabinetdoorsuk #kitchencabinetmakeover #ukinteriors #britishhomes #interiordesignuk",2026-08-17,21:00:00,FALSE,britishhome_interior,FALSE,TRUE,https://raw.githubusercontent.com/badreddineX/British-home.BLOG/1721287a2673aed79942994ed9044d58a5ca7d3d/social-posts/2026-08-13/budget-kitchen-cabinet-makeover-uk-ig.png,Budget Kitchen Cabinet Makeover Ideas UK: 4 Ways Compared,POST,,,
