Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
Budget Apartment Decor: Under $200 CAD,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/ff67a221c879b52cbdadba9d66a4a43c5a6ecca1/pinterest-pins/template-def-2026-08-12/apartment-decor-ideas-on-a-budget-D.png,Budget Tips,,"Transform your rental for under $200 CAD — budget decor ideas for Canadian renters. What to buy first, what to DIY, and what makes the biggest difference. Save this pin for later!",https://smallspacehome.ca/blog/apartment-decor-ideas-on-a-budget,2026-08-14T23:00:00,"cute cheap apartment ideas, affordable apartment decor, apartment decor, Canada, under $200"
Apartment Decor Ideas for Canadian Renters,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/ff67a221c879b52cbdadba9d66a4a43c5a6ecca1/pinterest-pins/template-def-2026-08-12/apartment-decor-ideas-D.png,Decor,,"14 renter-friendly apartment decor ideas for Canadian apartments — no damage, no lost deposits. Real CAD prices, works in Toronto, Vancouver, and Montreal. Save this pin for later!",https://smallspacehome.ca/blog/apartment-decor-ideas,2026-08-15T00:00:00,"apartment decor ideas canada, rental decor ideas, renter-friendly, Canada, decor ideas"
Budget Apartment Decor Ideas Under $50 CAD,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/ff67a221c879b52cbdadba9d66a4a43c5a6ecca1/pinterest-pins/template-def-2026-08-12/budget-apartment-decor-under-50-D.png,Budget Tips,,"Real Canadian apartment decor ideas under $50 CAD — what to buy, where to shop, and what to skip. Tested in a small rental, not a showroom. Save this pin for later!",https://smallspacehome.ca/blog/budget-apartment-decor-under-50,2026-08-15T01:00:00,"under $50, cheap apartment ideas, apartment decor, Canada, renter-friendly"
Cheapest Ways to Make a Rental Feel More Stylish,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/ff67a221c879b52cbdadba9d66a4a43c5a6ecca1/pinterest-pins/template-def-2026-08-12/cheapest-ways-rental-feel-stylish-D.png,Budget Tips,,"Make a Canadian rental feel stylish for almost nothing — free rearranging tricks plus Dollarama, Marketplace, and thrift finds under $10 CAD each. Save this pin for later!",https://smallspacehome.ca/blog/cheapest-ways-rental-feel-stylish,2026-08-15T02:00:00,"rental decorating, budget tips, Canada, renter-friendly, free decorating ideas"
15 No-Damage Command Strip Decorating Hacks for Renters,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/ff67a221c879b52cbdadba9d66a4a43c5a6ecca1/pinterest-pins/template-def-2026-08-12/command-strip-decorating-hacks-renters-D.png,Decor,,"15 renter-friendly Command strip decorating ideas that won't void your security deposit—practical, no-damage solutions for Canadian apartments. Save this pin for later!",https://smallspacehome.ca/blog/command-strip-decorating-hacks-renters,2026-08-15T03:00:00,"no-drill decorating, renter-friendly decor, Canada, small space, no damage"
Condo Storage Ideas for Toronto & Vancouver Renters,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/ff67a221c879b52cbdadba9d66a4a43c5a6ecca1/pinterest-pins/template-def-2026-08-12/condo-storage-ideas-toronto-vancouver-D.png,Storage,,"Condo storage ideas for small Toronto and Vancouver units — no-drill solutions, condo locker alternatives, and real CAD prices from Amazon.ca, IKEA, and HomeSense. Save this pin for later!",https://smallspacehome.ca/blog/condo-storage-ideas-toronto-vancouver,2026-08-15T23:00:00,"condo storage ideas, small condo furniture, condo storage toronto, condo storage vancouver, apartment size furniture canada"
Cozy Winter Apartment Decor for Renters,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/ff67a221c879b52cbdadba9d66a4a43c5a6ecca1/pinterest-pins/template-def-2026-08-12/cozy-winter-apartment-decor-D.png,Decor,,"Cozy winter apartment decor ideas for Canadian renters — textiles, lighting, scent, and seasonal touches that make a small apartment feel warm all winter. Save this pin for later!",https://smallspacehome.ca/blog/cozy-winter-apartment-decor,2026-08-16T00:00:00,"cozy small apartment, winter apartment ideas, winter decor, Canada, hygge"
Dollarama Finds That Look Expensive in a Small Apartment,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/ff67a221c879b52cbdadba9d66a4a43c5a6ecca1/pinterest-pins/template-def-2026-08-12/dollarama-finds-look-expensive-D.png,Budget Tips,,"The Dollarama items that read as high-end in a Canadian rental — glass vases, ceramic planters, and trays for $1–$5 CAD, plus the exact styling tricks that hide the price tag. Save this pin for later!",https://smallspacehome.ca/blog/dollarama-finds-look-expensive,2026-08-16T01:00:00,"budget decor, cheap apartment decor, dollar store hacks, Canada, small apartment"
Facebook Marketplace Finds for Furnishing on a Budget,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/ff67a221c879b52cbdadba9d66a4a43c5a6ecca1/pinterest-pins/template-def-2026-08-12/facebook-marketplace-furnishing-budget-D.png,Budget Tips,,"How to use Facebook Marketplace to furnish a small Canadian apartment for less — search tips, safety rules for pickups, and real CAD price ranges. Save this pin for later!",https://smallspacehome.ca/blog/facebook-marketplace-furnishing-budget,2026-08-16T02:00:00,"secondhand furniture, budget furniture, apartment furnishing, Canada, small apartment"
Fall Apartment Decorating Ideas,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/ff67a221c879b52cbdadba9d66a4a43c5a6ecca1/pinterest-pins/template-def-2026-08-12/fall-apartment-decorating-ideas-D.png,Decor,,"Fall apartment decorating ideas for Canadian renters — seasonal textures, warm tones, and autumn touches that need no permanent changes or a big budget. Save this pin for later!",https://smallspacehome.ca/blog/fall-apartment-decorating-ideas,2026-08-16T03:00:00,"autumn decorating ideas, fall apartment ideas, autumn apartment, Canada, seasonal decor"
