Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
Pergola Entertaining Ideas Australia: 14 Tips That Work,https://raw.githubusercontent.com/badreddineX/coastal-home-au.BLOG/685c4c621ba2aa400431e36dbd2fe9b8a288dde8/pinterest-pins/template-a-2026-08-13/pergola-entertaining-ideas-australia-A.png,Outdoor Entertaining,,I've had a Gold Coast pergola for 4 years. Here are 14 pergola entertaining ideas that transformed my outdoor space — AUD prices and local retailers included. Save this pin for later!,https://outdoorcoastalhome.com/blog/01-pergola-entertaining-ideas-australia,2026-08-13T18:00:00,"pergola outdoor entertaining ideas Australia, pergola entertaining australia, pergola ideas australia, outdoor pergola decor, alfresco pergola"
Australian Beach House Decor Ideas: 13 Proven Tips,https://raw.githubusercontent.com/badreddineX/coastal-home-au.BLOG/685c4c621ba2aa400431e36dbd2fe9b8a288dde8/pinterest-pins/template-a-2026-08-13/australian-beach-house-decor-ideas-A.png,Coastal Decor,,I've decorated three Gold Coast coastal homes. Here are 13 Australian beach house decor ideas that actually work — real AUD prices and real local retailers. Save this pin for later!,https://outdoorcoastalhome.com/blog/02-australian-beach-house-decor-ideas,2026-08-13T19:00:00,"australian beach house decor ideas, beach house decor australia, coastal house decor, australian beach house interior, beach house styling australia"
Small Backyard Entertaining Australia: 12 Tips That Work,https://raw.githubusercontent.com/badreddineX/coastal-home-au.BLOG/685c4c621ba2aa400431e36dbd2fe9b8a288dde8/pinterest-pins/template-a-2026-08-13/small-backyard-entertaining-ideas-australia-A.png,Backyard & Outdoor Living,,"I entertain 12 people regularly in a 6×8m Gold Coast backyard. 12 small backyard entertaining ideas that made it possible — real AUD prices, real results. Save this pin for later!",https://outdoorcoastalhome.com/blog/03-small-backyard-entertaining-ideas-australia,2026-08-13T20:00:00,"small backyard entertaining ideas australia, small backyard ideas australia, small outdoor entertaining space, compact backyard entertaining, small alfresco ideas"
Rattan and Linen Coastal Styling Australia: How to Mix Them,https://raw.githubusercontent.com/badreddineX/coastal-home-au.BLOG/685c4c621ba2aa400431e36dbd2fe9b8a288dde8/pinterest-pins/template-a-2026-08-13/rattan-linen-coastal-decor-australia-A.png,Coastal Decor,,"How to style rattan and linen in an Australian coastal home for under $800 AUD — compositions, ratios, colour pairings, and the layering order that works. Save this pin for later!",https://outdoorcoastalhome.com/blog/04-rattan-linen-coastal-decor-australia,2026-08-13T21:00:00,"rattan and linen coastal decor ideas, rattan coastal decor australia, linen coastal interior, rattan linen home decor, coastal materials australia"
Outdoor Christmas Entertaining Australia: 12 Hosting Tips,https://raw.githubusercontent.com/badreddineX/coastal-home-au.BLOG/685c4c621ba2aa400431e36dbd2fe9b8a288dde8/pinterest-pins/template-a-2026-08-13/outdoor-christmas-entertaining-australia-A.png,Outdoor Entertaining,,"How to host a backyard Christmas in Australia — starting lunch at 12pm to beat the heat, feeding a crowd outdoors, timing, and setup with real AUD costs. Save this pin for later!",https://outdoorcoastalhome.com/blog/05-outdoor-christmas-entertaining-australia,2026-08-13T22:00:00,"outdoor christmas entertaining australia, backyard christmas australia, christmas entertaining ideas australia, outdoor christmas ideas australia, alfresco christmas"
Coastal Home Decor Australia: 14 Design Tips That Work,https://raw.githubusercontent.com/badreddineX/coastal-home-au.BLOG/685c4c621ba2aa400431e36dbd2fe9b8a288dde8/pinterest-pins/template-a-2026-08-13/coastal-home-decor-australia-A.png,Coastal Decor,,I've been refining the coastal home decor look in our Gold Coast home for 5 years. Here are 14 tips that actually work — with real AUD prices and honest advice. Save this pin for later!,https://outdoorcoastalhome.com/blog/06-coastal-home-decor-australia,2026-08-13T23:00:00,"coastal home decor, coastal decor australia, coastal style home, beach house decor, coastal interior australia"
Coastal Living Room Ideas Australia: 13 Best Tips,https://raw.githubusercontent.com/badreddineX/coastal-home-au.BLOG/685c4c621ba2aa400431e36dbd2fe9b8a288dde8/pinterest-pins/template-a-2026-08-13/coastal-living-room-ideas-australia-A.png,Hamptons Style,,I redesigned our Gold Coast living room from scratch using coastal style principles. Here are the 13 tips that worked — with real AUD prices and honest trade-offs. Save this pin for later!,https://outdoorcoastalhome.com/blog/08-coastal-living-room-ideas-australia,2026-08-14T18:00:00,"coastal living room ideas, coastal living room australia, beach house living room, coastal lounge ideas, coastal interior living room"
Backyard Entertaining Zones Australia: 14 Layout Tips,https://raw.githubusercontent.com/badreddineX/coastal-home-au.BLOG/685c4c621ba2aa400431e36dbd2fe9b8a288dde8/pinterest-pins/template-a-2026-08-13/backyard-entertaining-ideas-australia-A.png,Backyard & Outdoor Living,,"How to zone your Australian backyard for entertaining — from shade structures to bar areas, seating zones, and lighting. Real AUD costs for every element included. Save this pin for later!",https://outdoorcoastalhome.com/blog/09-backyard-entertaining-ideas-australia,2026-08-14T19:00:00,"backyard entertaining ideas australia, backyard entertaining australia, outdoor backyard ideas, backyard party ideas australia, alfresco backyard"
Hamptons Style Decor Australia: 13 Tips to Get It Right,https://raw.githubusercontent.com/badreddineX/coastal-home-au.BLOG/685c4c621ba2aa400431e36dbd2fe9b8a288dde8/pinterest-pins/template-a-2026-08-13/hamptons-style-decor-australia-A.png,Hamptons Style,,"Three years building a Hamptons-style home on the Gold Coast. DIY shiplap panelling from $300-$800 and honest advice on where to save, with real AUD prices. Save this pin for later!",https://outdoorcoastalhome.com/blog/10-hamptons-style-decor-australia,2026-08-14T20:00:00,"hamptons style decor australia, hamptons decor australia, hamptons interior australia, hamptons home style, hamptons look australia"
Coastal Interior Design Principles Australia: 13 Rules,https://raw.githubusercontent.com/badreddineX/coastal-home-au.BLOG/685c4c621ba2aa400431e36dbd2fe9b8a288dde8/pinterest-pins/template-a-2026-08-13/coastal-interior-design-australia-A.png,Coastal Decor,,"The 13 design principles behind Australian coastal interiors — spatial rules, material logic, and colour theory that professional designers use. Pure technique. Save this pin for later!",https://outdoorcoastalhome.com/blog/11-coastal-interior-design-australia,2026-08-14T21:00:00,"coastal interior design australia, coastal interior design, australian coastal interior, coastal design principles, coastal home design"
