board_name,title,description,link,image_url,published_at
Budget Tips,Budget Apartment Decor: Under $200 CAD,"Transform your rental for under $200 CAD — budget decor ideas for Canadian renters. What to buy first, what to DIY, and what makes the biggest difference. Save this pin for later!",https://smallspacehome.ca/blog/apartment-decor-ideas-on-a-budget,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/ff67a221c879b52cbdadba9d66a4a43c5a6ecca1/pinterest-pins/template-def-2026-08-12/apartment-decor-ideas-on-a-budget-D.png,2026-08-14 19:00
Decor,Apartment Decor Ideas for Canadian Renters,"14 renter-friendly apartment decor ideas for Canadian apartments — no damage, no lost deposits. Real CAD prices, works in Toronto, Vancouver, and Montreal. Save this pin for later!",https://smallspacehome.ca/blog/apartment-decor-ideas,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/ff67a221c879b52cbdadba9d66a4a43c5a6ecca1/pinterest-pins/template-def-2026-08-12/apartment-decor-ideas-D.png,2026-08-14 20:00
Budget Tips,Budget Apartment Decor Ideas Under $50 CAD,"Real Canadian apartment decor ideas under $50 CAD — what to buy, where to shop, and what to skip. Tested in a small rental, not a showroom. Save this pin for later!",https://smallspacehome.ca/blog/budget-apartment-decor-under-50,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/ff67a221c879b52cbdadba9d66a4a43c5a6ecca1/pinterest-pins/template-def-2026-08-12/budget-apartment-decor-under-50-D.png,2026-08-14 21:00
Budget Tips,Cheapest Ways to Make a Rental Feel More Stylish,"Make a Canadian rental feel stylish for almost nothing — free rearranging tricks plus Dollarama, Marketplace, and thrift finds under $10 CAD each. Save this pin for later!",https://smallspacehome.ca/blog/cheapest-ways-rental-feel-stylish,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/ff67a221c879b52cbdadba9d66a4a43c5a6ecca1/pinterest-pins/template-def-2026-08-12/cheapest-ways-rental-feel-stylish-D.png,2026-08-14 22:00
Decor,15 No-Damage Command Strip Decorating Hacks for Renters,"15 renter-friendly Command strip decorating ideas that won't void your security deposit—practical, no-damage solutions for Canadian apartments. Save this pin for later!",https://smallspacehome.ca/blog/command-strip-decorating-hacks-renters,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/ff67a221c879b52cbdadba9d66a4a43c5a6ecca1/pinterest-pins/template-def-2026-08-12/command-strip-decorating-hacks-renters-D.png,2026-08-14 23:00
Storage,Condo Storage Ideas for Toronto & Vancouver Renters,"Condo storage ideas for small Toronto and Vancouver units — no-drill solutions, condo locker alternatives, and real CAD prices from Amazon.ca, IKEA, and HomeSense. Save this pin for later!",https://smallspacehome.ca/blog/condo-storage-ideas-toronto-vancouver,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/ff67a221c879b52cbdadba9d66a4a43c5a6ecca1/pinterest-pins/template-def-2026-08-12/condo-storage-ideas-toronto-vancouver-D.png,2026-08-15 19:00
Decor,Cozy Winter Apartment Decor for Renters,"Cozy winter apartment decor ideas for Canadian renters — textiles, lighting, scent, and seasonal touches that make a small apartment feel warm all winter. Save this pin for later!",https://smallspacehome.ca/blog/cozy-winter-apartment-decor,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/ff67a221c879b52cbdadba9d66a4a43c5a6ecca1/pinterest-pins/template-def-2026-08-12/cozy-winter-apartment-decor-D.png,2026-08-15 20:00
Budget Tips,Dollarama Finds That Look Expensive in a Small Apartment,"The Dollarama items that read as high-end in a Canadian rental — glass vases, ceramic planters, and trays for $1–$5 CAD, plus the exact styling tricks that hide the price tag. Save this pin for later!",https://smallspacehome.ca/blog/dollarama-finds-look-expensive,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/ff67a221c879b52cbdadba9d66a4a43c5a6ecca1/pinterest-pins/template-def-2026-08-12/dollarama-finds-look-expensive-D.png,2026-08-15 21:00
Budget Tips,Facebook Marketplace Finds for Furnishing on a Budget,"How to use Facebook Marketplace to furnish a small Canadian apartment for less — search tips, safety rules for pickups, and real CAD price ranges. Save this pin for later!",https://smallspacehome.ca/blog/facebook-marketplace-furnishing-budget,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/ff67a221c879b52cbdadba9d66a4a43c5a6ecca1/pinterest-pins/template-def-2026-08-12/facebook-marketplace-furnishing-budget-D.png,2026-08-15 22:00
Decor,Fall Apartment Decorating Ideas,"Fall apartment decorating ideas for Canadian renters — seasonal textures, warm tones, and autumn touches that need no permanent changes or a big budget. Save this pin for later!",https://smallspacehome.ca/blog/fall-apartment-decorating-ideas,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/ff67a221c879b52cbdadba9d66a4a43c5a6ecca1/pinterest-pins/template-def-2026-08-12/fall-apartment-decorating-ideas-D.png,2026-08-15 23:00
Budget Tips,Free & Cheap Apartment Decor: DIY vs. Buy,Which apartment decor projects actually save money and which ones cost more in time and materials than just buying? A Canadian renter's honest DIY vs. buy breakdown. Save this pin for later!,https://smallspacehome.ca/blog/free-cheap-apartment-decor-diy-vs-buy,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/ff67a221c879b52cbdadba9d66a4a43c5a6ecca1/pinterest-pins/template-def-2026-08-12/free-cheap-apartment-decor-diy-vs-buy-D.png,2026-08-16 19:00
Storage,17 Fridge & Pantry Organization Ideas for Small Kitchens,"Practical, renter-friendly fridge and pantry organization ideas for Canadian small-space apartments—no drilling, no mess, all effective. Save this pin for later!",https://smallspacehome.ca/blog/fridge-pantry-organization-small-apartment,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/ff67a221c879b52cbdadba9d66a4a43c5a6ecca1/pinterest-pins/template-def-2026-08-12/fridge-pantry-organization-small-apartment-D.png,2026-08-16 20:00
Decor,How to Decorate a Small Living Room,"A step-by-step guide to decorating a small living room in a Canadian rental — layout, lighting, furniture scale, colour, and storage, in the right order. Save this pin for later!",https://smallspacehome.ca/blog/how-to-decorate-a-small-living-room,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/ff67a221c879b52cbdadba9d66a4a43c5a6ecca1/pinterest-pins/template-def-2026-08-12/how-to-decorate-a-small-living-room-D.png,2026-08-16 21:00
Decor,How to Make a Small Room Look Bigger,"13 visual tricks that make any small room in a Canadian apartment look bigger — colour, mirrors, lighting, furniture, and layout. No renovation required. Save this pin for later!",https://smallspacehome.ca/blog/how-to-make-a-small-room-look-bigger,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/ff67a221c879b52cbdadba9d66a4a43c5a6ecca1/pinterest-pins/template-def-2026-08-12/how-to-make-a-small-room-look-bigger-D.png,2026-08-16 22:00
Organization,15 IKEA Small Space Hacks for Apartments,"15 IKEA small space hacks for Canadian apartments — furniture combos, storage tricks, and unexpected uses, with real CAD prices and what actually works. Save this pin for later!",https://smallspacehome.ca/blog/ikea-small-space-hacks,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/ff67a221c879b52cbdadba9d66a4a43c5a6ecca1/pinterest-pins/template-def-2026-08-12/ikea-small-space-hacks-D.png,2026-08-16 23:00
Organization,January Reset: Apartment Organization,"15 January reset organization ideas for small Canadian apartments — declutter, reset every room, and build systems that actually hold through the year. Save this pin for later!",https://smallspacehome.ca/blog/january-reset-organization-ideas,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/ff67a221c879b52cbdadba9d66a4a43c5a6ecca1/pinterest-pins/template-def-2026-08-12/january-reset-organization-ideas-D.png,2026-08-17 19:00
Decor,Minimalist Small Apartment Ideas for Renters,"Minimalist ideas for small Canadian rentals — how to declutter, edit, and design a space that feels calm, spacious, and intentional without overspending. Save this pin for later!",https://smallspacehome.ca/blog/minimalist-small-apartment-ideas,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/ff67a221c879b52cbdadba9d66a4a43c5a6ecca1/pinterest-pins/template-def-2026-08-12/minimalist-small-apartment-ideas-D.png,2026-08-17 20:00
Decor,10 Multifunctional Furniture Ideas for Small Rentals,"Space-saving furniture ideas Canadian renters love—no drilling, full ROI, renter-friendly picks that work in any small apartment. Save this pin for later!",https://smallspacehome.ca/blog/multifunctional-furniture-small-apartment,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/ff67a221c879b52cbdadba9d66a4a43c5a6ecca1/pinterest-pins/template-def-2026-08-12/multifunctional-furniture-small-apartment-D.png,2026-08-17 21:00
