Text,Date,Time,Draft,Brand name,Facebook,Instagram,Picture URL 1,Alt text picture 1,Instagram Post Type,Facebook Post Type,Facebook Title,Facebook First Comment Text
"Budget Apartment Decor — Under $200 CAD

Transform your rental for under $200 CAD — budget decor ideas for Canadian renters. What to buy first, what to DIY, and what makes the biggest difference.

Save this post for later. Full guide — link in bio.

#budgetdecor #cutecheapapartmentideas #affordableapartmentdecor #apartmentdecor #canada #under200 #renterfriendly #smallspaceliving #apartmenttherapy #canadianhomes",2026-08-13,19:00:00,FALSE,SmallSpaceHome,FALSE,TRUE,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/f4cc247d2cf7ef09e3bb015c681cb5c881f8e71d/social-posts/2026-08-13/apartment-decor-ideas-on-a-budget-ig.png,Budget Apartment Decor: Under $200 CAD,POST,,,
"Budget Apartment Decor: Under $200 CAD

Transform your rental for under $200 CAD — budget decor ideas for Canadian renters. What to buy first, what to DIY, and what makes the biggest difference.

Read the full guide: https://smallspacehome.ca/blog/apartment-decor-ideas-on-a-budget",2026-08-13,19:00:00,FALSE,SmallSpaceHome,TRUE,FALSE,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/f4cc247d2cf7ef09e3bb015c681cb5c881f8e71d/social-posts/2026-08-13/apartment-decor-ideas-on-a-budget-fb.png,Budget Apartment Decor: Under $200 CAD,,POST,Budget Apartment Decor: Under $200 CAD,
"Apartment Decor Ideas for Canadian Renters

14 renter-friendly apartment decor ideas for Canadian apartments — no damage, no lost deposits. Real CAD prices, works in Toronto, Vancouver, and Montreal.

Save this post for later. Full guide — link in bio.

#apartmentdecor #apartmentdecorideascanada #rentaldecorideas #renterfriendly #canada #decorideas #budget #smallspaceliving #apartmenttherapy #canadianhomes",2026-08-13,21:00:00,FALSE,SmallSpaceHome,FALSE,TRUE,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/f4cc247d2cf7ef09e3bb015c681cb5c881f8e71d/social-posts/2026-08-13/apartment-decor-ideas-ig.png,Apartment Decor Ideas for Canadian Renters,POST,,,
"Apartment Decor Ideas for Canadian Renters

14 renter-friendly apartment decor ideas for Canadian apartments — no damage, no lost deposits. Real CAD prices, works in Toronto, Vancouver, and Montreal.

Read the full guide: https://smallspacehome.ca/blog/apartment-decor-ideas",2026-08-13,21:00:00,FALSE,SmallSpaceHome,TRUE,FALSE,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/f4cc247d2cf7ef09e3bb015c681cb5c881f8e71d/social-posts/2026-08-13/apartment-decor-ideas-fb.png,Apartment Decor Ideas for Canadian Renters,,POST,Apartment Decor Ideas for Canadian Renters,
"Budget Apartment Decor Ideas Under $50 CAD

Real Canadian apartment decor ideas under $50 CAD — what to buy, where to shop, and what to skip. Tested in a small rental, not a showroom.

Save this post for later. Full guide — link in bio.

#budgetdecor #under50 #cheapapartmentideas #apartmentdecor #canada #renterfriendly #dollaramadecor #smallspaceliving #apartmenttherapy #canadianhomes",2026-08-14,19:00:00,FALSE,SmallSpaceHome,FALSE,TRUE,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/f4cc247d2cf7ef09e3bb015c681cb5c881f8e71d/social-posts/2026-08-13/budget-apartment-decor-under-50-ig.png,Budget Apartment Decor Ideas Under $50 CAD,POST,,,
"Budget Apartment Decor Ideas Under $50 CAD

Real Canadian apartment decor ideas under $50 CAD — what to buy, where to shop, and what to skip. Tested in a small rental, not a showroom.

Read the full guide: https://smallspacehome.ca/blog/budget-apartment-decor-under-50",2026-08-14,19:00:00,FALSE,SmallSpaceHome,TRUE,FALSE,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/f4cc247d2cf7ef09e3bb015c681cb5c881f8e71d/social-posts/2026-08-13/budget-apartment-decor-under-50-fb.png,Budget Apartment Decor Ideas Under $50 CAD,,POST,Budget Apartment Decor Ideas Under $50 CAD,
"Cheapest Ways to Make a Rental Feel More Stylish

Make a Canadian rental feel stylish for almost nothing — free rearranging tricks plus Dollarama, Marketplace, and thrift finds under $10 CAD each.

Save this post for later. Full guide — link in bio.

#cheapapartmentdecor #rentaldecorating #budgettips #canada #renterfriendly #freedecoratingideas #thrifteddecor #smallspaceliving #apartmenttherapy #canadianhomes",2026-08-14,21:00:00,FALSE,SmallSpaceHome,FALSE,TRUE,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/f4cc247d2cf7ef09e3bb015c681cb5c881f8e71d/social-posts/2026-08-13/cheapest-ways-rental-feel-stylish-ig.png,Cheapest Ways to Make a Rental Feel More Stylish,POST,,,
"Cheapest Ways to Make a Rental Feel More Stylish

Make a Canadian rental feel stylish for almost nothing — free rearranging tricks plus Dollarama, Marketplace, and thrift finds under $10 CAD each.

Read the full guide: https://smallspacehome.ca/blog/cheapest-ways-rental-feel-stylish",2026-08-14,21:00:00,FALSE,SmallSpaceHome,TRUE,FALSE,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/f4cc247d2cf7ef09e3bb015c681cb5c881f8e71d/social-posts/2026-08-13/cheapest-ways-rental-feel-stylish-fb.png,Cheapest Ways to Make a Rental Feel More Stylish,,POST,Cheapest Ways to Make a Rental Feel More Stylish,
"15 No-Damage Command Strip Decorating Hacks for Renters

15 renter-friendly Command strip decorating ideas that won't void your security deposit—practical, no-damage solutions for Canadian apartments.

Save this post for later. Full guide — link in bio.

#commandstrips #nodrilldecorating #renterfriendlydecor #canada #smallspace #nodamage #smallspaceliving #apartmenttherapy #renterfriendly #canadianhomes",2026-08-15,19:00:00,FALSE,SmallSpaceHome,FALSE,TRUE,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/f4cc247d2cf7ef09e3bb015c681cb5c881f8e71d/social-posts/2026-08-13/command-strip-decorating-hacks-renters-ig.png,15 No-Damage Command Strip Decorating Hacks for Renters,POST,,,
"15 No-Damage Command Strip Decorating Hacks for Renters

15 renter-friendly Command strip decorating ideas that won't void your security deposit—practical, no-damage solutions for Canadian apartments.

Read the full guide: https://smallspacehome.ca/blog/command-strip-decorating-hacks-renters",2026-08-15,19:00:00,FALSE,SmallSpaceHome,TRUE,FALSE,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/f4cc247d2cf7ef09e3bb015c681cb5c881f8e71d/social-posts/2026-08-13/command-strip-decorating-hacks-renters-fb.png,15 No-Damage Command Strip Decorating Hacks for Renters,,POST,15 No-Damage Command Strip Decorating Hacks for Renters,
"Condo Storage Ideas for Toronto & Vancouver Renters

Condo storage ideas for small Toronto and Vancouver units — no-drill solutions, condo locker alternatives, and real CAD prices from Amazon.ca, IKEA, and HomeSense.

Save this post for later. Full guide — link in bio.

#condostorage #condostorageideas #smallcondofurniture #condostoragetoronto #condostoragevancouver #apartmentsizefurniturecanada #renterfriendly #canada #nodrill #smallspaceliving",2026-08-15,21:00:00,FALSE,SmallSpaceHome,FALSE,TRUE,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/f4cc247d2cf7ef09e3bb015c681cb5c881f8e71d/social-posts/2026-08-13/condo-storage-ideas-toronto-vancouver-ig.png,Condo Storage Ideas for Toronto & Vancouver Renters,POST,,,
